,unit,ticker,exchangeCD,utcOffset,currencyCD,barTime,closePrice,openPrice,highPrice,lowPrice,totalVolume,totalValue
159,1,1,XSHE,+08:00,CNY,13:39,8.62,8.63,8.63,8.62,440600,3799811
160,1,1,XSHE,+08:00,CNY,13:40,8.62,8.63,8.63,8.62,166602,1436286.24
161,1,1,XSHE,+08:00,CNY,13:41,8.63,8.63,8.63,8.62,76320,658253.4
162,1,1,XSHE,+08:00,CNY,13:42,8.63,8.62,8.63,8.62,314880,2714474.6
163,1,1,XSHE,+08:00,CNY,13:43,8.62,8.63,8.63,8.61,204682,1764112.02
164,1,1,XSHE,+08:00,CNY,13:44,8.61,8.61,8.62,8.6,643300,5538296
165,1,1,XSHE,+08:00,CNY,13:45,8.62,8.6,8.62,8.6,413200,3559490.18
166,1,1,XSHE,+08:00,CNY,13:46,8.62,8.61,8.62,8.61,353020,3041251.2
167,1,1,XSHE,+08:00,CNY,13:47,8.63,8.62,8.63,8.61,187400,1614652
168,1,1,XSHE,+08:00,CNY,13:48,8.62,8.62,8.62,8.61,290700,2505856
169,1,1,XSHE,+08:00,CNY,13:49,8.62,8.62,8.63,8.61,273200,2355288
170,1,1,XSHE,+08:00,CNY,13:50,8.62,8.61,8.62,8.61,179500,1545939
171,1,1,XSHE,+08:00,CNY,13:51,8.61,8.62,8.62,8.61,113220,975625.2
172,1,1,XSHE,+08:00,CNY,13:52,8.62,8.61,8.62,8.61,100000,861800
173,1,1,XSHE,+08:00,CNY,13:53,8.61,8.61,8.62,8.61,100480,865825.8
174,1,1,XSHE,+08:00,CNY,13:54,8.62,8.61,8.62,8.61,172300,1484439
175,1,1,XSHE,+08:00,CNY,13:55,8.62,8.61,8.62,8.61,93320,804206.2
176,1,1,XSHE,+08:00,CNY,13:56,8.62,8.62,8.62,8.61,78100,673027
177,1,1,XSHE,+08:00,CNY,13:57,8.62,8.61,8.63,8.61,160400,1382661.72
178,1,1,XSHE,+08:00,CNY,13:58,8.63,8.63,8.63,8.62,89900,775389
179,1,1,XSHE,+08:00,CNY,13:59,8.63,8.63,8.63,8.62,128000,1104367
180,1,1,XSHE,+08:00,CNY,14:00,8.63,8.63,8.63,8.62,206400,1779710
181,1,1,XSHE,+08:00,CNY,14:01,8.63,8.62,8.63,8.62,363900,3138144
182,1,1,XSHE,+08:00,CNY,14:02,8.63,8.62,8.63,8.62,42100,363098
183,1,1,XSHE,+08:00,CNY,14:03,8.62,8.63,8.63,8.62,40500,349320
184,1,1,XSHE,+08:00,CNY,14:04,8.63,8.62,8.64,8.62,195515,1686932.45
185,1,1,XSHE,+08:00,CNY,14:05,8.63,8.64,8.64,8.63,178500,1540774
186,1,1,XSHE,+08:00,CNY,14:06,8.64,8.63,8.65,8.63,360400,3113351
187,1,1,XSHE,+08:00,CNY,14:07,8.67,8.64,8.67,8.63,392840,3399075.68
188,1,1,XSHE,+08:00,CNY,14:08,8.66,8.66,8.66,8.65,192600,1667741
189,1,1,XSHE,+08:00,CNY,14:09,8.66,8.66,8.67,8.66,313600,2718025
190,1,1,XSHE,+08:00,CNY,14:10,8.69,8.67,8.69,8.66,499700,4335905.4
191,1,1,XSHE,+08:00,CNY,14:11,8.68,8.69,8.69,8.68,107700,935395
192,1,1,XSHE,+08:00,CNY,14:12,8.68,8.68,8.68,8.67,536100,4653283
193,1,1,XSHE,+08:00,CNY,14:13,8.68,8.67,8.68,8.67,64000,555284
194,1,1,XSHE,+08:00,CNY,14:14,8.68,8.67,8.68,8.67,198800,1725414
195,1,1,XSHE,+08:00,CNY,14:15,8.68,8.68,8.68,8.67,86400,749186
196,1,1,XSHE,+08:00,CNY,14:16,8.68,8.68,8.69,8.67,281400,2442134
197,1,1,XSHE,+08:00,CNY,14:17,8.69,8.68,8.69,8.68,83900,728544
198,1,1,XSHE,+08:00,CNY,14:18,8.69,8.68,8.69,8.68,72300,627755
199,1,1,XSHE,+08:00,CNY,14:19,8.68,8.69,8.69,8.68,278900,2423411
200,1,1,XSHE,+08:00,CNY,14:20,8.68,8.69,8.69,8.67,133200,1156364.01
201,1,1,XSHE,+08:00,CNY,14:21,8.68,8.67,8.69,8.67,102400,889048
